,prolific_id,headline,article_id,response_class,company_1,company_2
273,604d603b057fd944c370a451,Babcock &amp; Brown Japan acquires Matsudo Nitori property,stub_article_id,Acquisition,Babcock & Brown Japan,Matsudo Nitori
56,5cf6d5545d6e680019857203,Baxter Group acquires Beena Bin Hire,stub_article_id,Acquisition,Baxter Group,Beena Bin Hire
49,5cf6d5545d6e680019857203,Bayer blocks Techstar deal to acquire Tecnostics,stub_article_id,Neither / Not sure / Unclear,,
45,5cf6d5545d6e680019857203,Bill Express to acquire 100pc of PodTV,stub_article_id,Acquisition,Bill Express,PodTV
270,604d603b057fd944c370a451,"BioPharmica, GE Healthcare breast cancer study",stub_article_id,Neither / Not sure / Unclear,,
124,5c067e6329abc0000199ae45,Bow Energy completes Oilex acquisitions,stub_article_id,Acquisition,Bow Energy,Oilex 
88,605dd566e714dcc87f884853,Bow Energy completes Oilex acquisitions,stub_article_id,Acquisition,Bow Energy,Oilex
100,605dd566e714dcc87f884853,Bradken buys steel foundry in WA for $8 million,stub_article_id,Neither / Not sure / Unclear,,
191,60fec763beec24a798c25e31,Bradken makes its first offshore acquisition,stub_article_id,Acquisition,Bradken,
188,60fec763beec24a798c25e31,Bravura finalises transfer agency software acquisition,stub_article_id,Acquisition,,
43,5cf6d5545d6e680019857203,Bullion Minerals acquires portfolio of uranium projects,stub_article_id,Acquisition,Bullion Minerals,portfolio of uranium projects
126,5c067e6329abc0000199ae45,Byte Power varies deal on Banko acquisition,stub_article_id,Acquisition,Banko,Byte Power
223,60fabc9b06cc8ca9173f044c,CBD Energy completes sale of subsidiary,stub_article_id,Neither / Not sure / Unclear,,
153,5de7d87f1a7af87458d8bf85,CBD Energy completes sale of subsidiary,stub_article_id,Neither / Not sure / Unclear,,
13,606f0eee100e0a9f59cc0735,CBD Energy completes sale of subsidiary,stub_article_id,Neither / Not sure / Unclear,,
78,605dd566e714dcc87f884853,CBD Energy to buy assets from Lloyd Energy Systems,stub_article_id,Neither / Not sure / Unclear,,
80,605dd566e714dcc87f884853,CDS Technologies sells Copa Water,stub_article_id,Neither / Not sure / Unclear,,
315,616e5ae706e970fe0aff99b6,CMA Corp acquires NZ and NT scrap metal merchants,stub_article_id,Acquisition,CMA Corp,
351,5f70b6d420717c6a6dcf0773,CMA Corp acquires NZ and NT scrap metal merchants,stub_article_id,Acquisition,CMA Corp,
24,606f0eee100e0a9f59cc0735,Cardno to fund $35m acquisition with issue of notes,stub_article_id,Neither / Not sure / Unclear,,
234,60fabc9b06cc8ca9173f044c,Cardno to fund $35m acquisition with issue of notes,stub_article_id,Acquisition,,
164,5de7d87f1a7af87458d8bf85,Cardno to fund $35m acquisition with issue of notes,stub_article_id,Neither / Not sure / Unclear,,
84,605dd566e714dcc87f884853,Cellnet Group Ltd has finalised a deal to buy VME Systems,stub_article_id,Acquisition,Cellnet Group Ltd,VME Systems
275,604d603b057fd944c370a451,Celtex acquires 51pc of Metropolis Audio,stub_article_id,Acquisition,Celtex,Metropolis Audio
46,5cf6d5545d6e680019857203,Centro Properties portfolio up $423m,stub_article_id,Neither / Not sure / Unclear,,
204,60fec763beec24a798c25e31,Challenger Financial in acquisition talks with HSBC,stub_article_id,Neither / Not sure / Unclear,,
62,5cf6d5545d6e680019857203,Chariot buys AirNet business,stub_article_id,Acquisition,Chariot ,AirNet 
133,5c067e6329abc0000199ae45,Cochlear expands manufacturing with acquisition,stub_article_id,Acquisition,Cochlear,
197,60fec763beec24a798c25e31,Cochlear expands manufacturing with acquisition,stub_article_id,Acquisition,Cochlear,
85,605dd566e714dcc87f884853,Coffey makes two project management acquisitions,stub_article_id,Acquisition,Coffey,
327,5f70b6d420717c6a6dcf0773,CogState to acquire Canadian disease ID software,stub_article_id,Acquisition,CogState,
291,616e5ae706e970fe0aff99b6,CogState to acquire Canadian disease ID software,stub_article_id,Neither / Not sure / Unclear,,
199,60fec763beec24a798c25e31,Coles Group acquires Talbot Hotels for $53m,stub_article_id,Acquisition,Coles Group, Talbot Hotels 
48,5cf6d5545d6e680019857203,Commander buys 80pc of Personal Broadband,stub_article_id,Acquisition,Commander,Personal Broadband
278,604d603b057fd944c370a451,Commoditel acquires more post-paid mobile subscribers,stub_article_id,Neither / Not sure / Unclear,,
264,604d603b057fd944c370a451,Computershare acquires US-based Lord Securities,stub_article_id,Acquisition,Computershare ,Lord Securities
304,616e5ae706e970fe0aff99b6,Computershare acquires US-based Lord Securities,stub_article_id,Acquisition,Computershare ,
340,5f70b6d420717c6a6dcf0773,Computershare acquires US-based Lord Securities,stub_article_id,Acquisition,Computershare,Lord Securities
312,616e5ae706e970fe0aff99b6,Computershare not in bid for London Stock Exchange,stub_article_id,Neither / Not sure / Unclear,,
276,604d603b057fd944c370a451,Computershare not in bid for London Stock Exchange,stub_article_id,Neither / Not sure / Unclear,,
348,5f70b6d420717c6a6dcf0773,Computershare not in bid for London Stock Exchange,stub_article_id,Neither / Not sure / Unclear,,
263,604d603b057fd944c370a451,Constellation Brands Q2 net income $US68m,stub_article_id,Neither / Not sure / Unclear,,
22,606f0eee100e0a9f59cc0735,Constellation Brands first quarter income up 47pc,stub_article_id,Neither / Not sure / Unclear,,
162,5de7d87f1a7af87458d8bf85,Constellation Brands first quarter income up 47pc,stub_article_id,Neither / Not sure / Unclear,,
232,60fabc9b06cc8ca9173f044c,Constellation Brands first quarter income up 47pc,stub_article_id,Neither / Not sure / Unclear,,
326,5f70b6d420717c6a6dcf0773,Constellation Brands makes takeover offer for Vincor,stub_article_id,Acquisition,Constellation Brands,Vincor
290,616e5ae706e970fe0aff99b6,Constellation Brands makes takeover offer for Vincor,stub_article_id,Neither / Not sure / Unclear,,
333,5f70b6d420717c6a6dcf0773,Constellation Brands second-quarter net income up 2pc,stub_article_id,Neither / Not sure / Unclear,,
297,616e5ae706e970fe0aff99b6,Constellation Brands second-quarter net income up 2pc,stub_article_id,Neither / Not sure / Unclear,,
50,5cf6d5545d6e680019857203,Constellation Brands: no offer for Allied Domecq,stub_article_id,Neither / Not sure / Unclear,,
187,60fec763beec24a798c25e31,"Constellation sets record, expects further gains",stub_article_id,Neither / Not sure / Unclear,,
335,5f70b6d420717c6a6dcf0773,Constellation updates full-year earnings guidance,stub_article_id,Neither / Not sure / Unclear,,
299,616e5ae706e970fe0aff99b6,Constellation updates full-year earnings guidance,stub_article_id,Neither / Not sure / Unclear,,
283,616e5ae706e970fe0aff99b6,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc.
141,5de7d87f1a7af87458d8bf85,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc.
34,5cf6d5545d6e680019857203,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc.
319,5f70b6d420717c6a6dcf0773,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc.
1,606f0eee100e0a9f59cc0735,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc.
105,5c067e6329abc0000199ae45,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc. 
244,604d603b057fd944c370a451,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc
71,605dd566e714dcc87f884853,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc.
174,60fec763beec24a798c25e31,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,Advanced Drainage Systems,Cultec Inc. 
211,60fabc9b06cc8ca9173f044c,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,stub_article_id,Acquisition,,Acquired
300,616e5ae706e970fe0aff99b6,DCA Group to acquire 2 aged healthcare facilities,stub_article_id,Neither / Not sure / Unclear,,
336,5f70b6d420717c6a6dcf0773,DCA Group to acquire 2 aged healthcare facilities,stub_article_id,Acquisition,DCA Group,
261,604d603b057fd944c370a451,DCA Group to acquire 2 aged healthcare facilities,stub_article_id,Neither / Not sure / Unclear,,
221,60fabc9b06cc8ca9173f044c,Datafast acquires VianetAIP,stub_article_id,Acquisition,Datafast,VianetAIP
151,5de7d87f1a7af87458d8bf85,Datafast acquires VianetAIP,stub_article_id,Acquisition,Datafast,VianetAIP
11,606f0eee100e0a9f59cc0735,Datafast acquires VianetAIP,stub_article_id,Acquisition,Datafast ,VianetAIP
307,616e5ae706e970fe0aff99b6,Datafast makes ISP acquisition,stub_article_id,Acquisition,Datafast ,ISP 
343,5f70b6d420717c6a6dcf0773,Datafast makes ISP acquisition,stub_article_id,Acquisition,Datafast,ISP
203,60fec763beec24a798c25e31,Decision on Santos acquisition of QGC delayed to January,stub_article_id,Neither / Not sure / Unclear,,
12,606f0eee100e0a9f59cc0735,Deep Yellow acquires Tanami's uranium rights,stub_article_id,Acquisition,Deep Yellow,Tanami
222,60fabc9b06cc8ca9173f044c,Deep Yellow acquires Tanami's uranium rights,stub_article_id,Acquisition,Deep Yellow,Tanami's
152,5de7d87f1a7af87458d8bf85,Deep Yellow acquires Tanami's uranium rights,stub_article_id,Acquisition,Deep Yellow,Tanami's uranium rights
52,5cf6d5545d6e680019857203,DenX raises additional capital,stub_article_id,Neither / Not sure / Unclear,,
19,606f0eee100e0a9f59cc0735,DenX raises additional capital,stub_article_id,Neither / Not sure / Unclear,,
229,60fabc9b06cc8ca9173f044c,DenX raises additional capital,stub_article_id,Neither / Not sure / Unclear,,
159,5de7d87f1a7af87458d8bf85,DenX raises additional capital,stub_article_id,Neither / Not sure / Unclear,,
269,604d603b057fd944c370a451,Desane Group acquires Lane Cove commercial property,stub_article_id,Neither / Not sure / Unclear,,
138,5c067e6329abc0000199ae45,Destra acquires NiceShorts online video community,stub_article_id,Neither / Not sure / Unclear,,
208,60fec763beec24a798c25e31,Destra acquires NiceShorts online video community,stub_article_id,Acquisition, Destra ,NiceShorts
116,5c067e6329abc0000199ae45,EBet to acquire Octavian Gaming Systems,stub_article_id,Acquisition,EBet,Octavian Gaming Systems
194,60fec763beec24a798c25e31,Eastland international placement agreement,stub_article_id,Neither / Not sure / Unclear,,
121,5c067e6329abc0000199ae45,Eden Energy says share surge due to quarterly report,stub_article_id,Neither / Not sure / Unclear,,
108,5c067e6329abc0000199ae45,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
74,605dd566e714dcc87f884853,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
4,606f0eee100e0a9f59cc0735,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
144,5de7d87f1a7af87458d8bf85,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
247,604d603b057fd944c370a451,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
322,5f70b6d420717c6a6dcf0773,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
37,5cf6d5545d6e680019857203,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
214,60fabc9b06cc8ca9173f044c,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
177,60fec763beec24a798c25e31,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
286,616e5ae706e970fe0aff99b6,Elon Musk has a New Twitter CEO Lined Up,stub_article_id,Neither / Not sure / Unclear,,
65,5cf6d5545d6e680019857203,Entertainment Media still talking,stub_article_id,Neither / Not sure / Unclear,,
303,616e5ae706e970fe0aff99b6,Fairfax cleared to acquire New Zealand's Times Media,stub_article_id,Acquisition,Fairfax,Times Media
339,5f70b6d420717c6a6dcf0773,Fairfax cleared to acquire New Zealand's Times Media,stub_article_id,Acquisition,Fairfax,
184,60fec763beec24a798c25e31,Flat Glass acquires Alternative Glass,stub_article_id,Acquisition,Flat Glass,Alternative Glass
277,604d603b057fd944c370a451,Fletcher completes purchase of Maddren Timber,stub_article_id,Acquisition,Fletcher,Maddren Timber
209,60fec763beec24a798c25e31,Flight Centre buys Indian travel business,stub_article_id,Acquisition,Flight Centre,
252,604d603b057fd944c370a451,Flight Centre formally completes Indian acquisition,stub_article_id,Acquisition,Flight Centre,Indian
235,60fabc9b06cc8ca9173f044c,Foster's begins compulsory acquisition of Southcorp,stub_article_id,Merger,IAG,Southcorp
165,5de7d87f1a7af87458d8bf85,Foster's begins compulsory acquisition of Southcorp,stub_article_id,Acquisition,Foster's,Southcorp
25,606f0eee100e0a9f59cc0735,Foster's begins compulsory acquisition of Southcorp,stub_article_id,Acquisition,Foster's ,Southcorp
207,60fec763beec24a798c25e31,Frigrite acquires Oxley Refrigeration for $1.12m,stub_article_id,Acquisition,Frigrite,Oxley Refrigeration 
111,5c067e6329abc0000199ae45,GPT Group acquires 95pc of US seniors housing assets,stub_article_id,Neither / Not sure / Unclear,GPT Group,
128,5c067e6329abc0000199ae45,GVM Metals to list on Johannesburg Stock Exchange,stub_article_id,Neither / Not sure / Unclear,,
69,5cf6d5545d6e680019857203,Giralia acquires three uranium prospects,stub_article_id,Acquisition,Giralia ,
102,605dd566e714dcc87f884853,Global Approach to reverse Tusk acquisition,stub_article_id,Acquisition,Global Approach,Tusk
31,606f0eee100e0a9f59cc0735,Goldstream acquires Tanzanian nickel sulphide province,stub_article_id,Neither / Not sure / Unclear,Goldstream ,
241,60fabc9b06cc8ca9173f044c,Goldstream acquires Tanzanian nickel sulphide province,stub_article_id,Acquisition,Goldstream,Tanzanian nickel sulphide province
171,5de7d87f1a7af87458d8bf85,Goldstream acquires Tanzanian nickel sulphide province,stub_article_id,Acquisition,Goldstream,
112,5c067e6329abc0000199ae45,Gosford Quarry to make two acquisitions and a placement,stub_article_id,Acquisition,Gosford Quarry,
201,60fec763beec24a798c25e31,HGL buys distributor of pharmacy products,stub_article_id,Acquisition,HGL,
349,5f70b6d420717c6a6dcf0773,HGL to acquire JSB Lighting for approximately $8.5m,stub_article_id,Acquisition,HGL,JSB Lighting
313,616e5ae706e970fe0aff99b6,HGL to acquire JSB Lighting for approximately $8.5m,stub_article_id,Acquisition,HGL ,JSB Lighting
29,606f0eee100e0a9f59cc0735,HHG changes name to Henderson Group,stub_article_id,Neither / Not sure / Unclear,,
169,5de7d87f1a7af87458d8bf85,HHG changes name to Henderson Group,stub_article_id,Neither / Not sure / Unclear,,
239,60fabc9b06cc8ca9173f044c,HHG changes name to Henderson Group,stub_article_id,Neither / Not sure / Unclear,,
240,60fabc9b06cc8ca9173f044c,HPAL net profit up 8pc to $3.7m in first quarter,stub_article_id,Neither / Not sure / Unclear,,
30,606f0eee100e0a9f59cc0735,HPAL net profit up 8pc to $3.7m in first quarter,stub_article_id,Neither / Not sure / Unclear,,
170,5de7d87f1a7af87458d8bf85,HPAL net profit up 8pc to $3.7m in first quarter,stub_article_id,Neither / Not sure / Unclear,,
180,60fec763beec24a798c25e31,Hanson buys Thermalite from Etex for 120m pounds,stub_article_id,Acquisition,Hanson,Thermalite
64,5cf6d5545d6e680019857203,Hanson net profit down 7pc to 133m pounds in first half,stub_article_id,Neither / Not sure / Unclear,,
27,606f0eee100e0a9f59cc0735,Hastie buys air conditioning business on Central Coast,stub_article_id,Acquisition,Hastie , air conditioning business
237,60fabc9b06cc8ca9173f044c,Hastie buys air conditioning business on Central Coast,stub_article_id,Merger,Hastie,
167,5de7d87f1a7af87458d8bf85,Hastie buys air conditioning business on Central Coast,stub_article_id,Acquisition,Hastie,Central Coast
347,5f70b6d420717c6a6dcf0773,Healthscope update on acquisition of Ramsay hospitals,stub_article_id,Acquisition,Healthscope,
311,616e5ae706e970fe0aff99b6,Healthscope update on acquisition of Ramsay hospitals,stub_article_id,Neither / Not sure / Unclear,,
206,60fec763beec24a798c25e31,Henderson on track for PBT of 78m-82m pounds,stub_article_id,Neither / Not sure / Unclear,,
122,5c067e6329abc0000199ae45,Hyro acquires Identity Solutions Labs of NZ,stub_article_id,Acquisition,Hyro,Identity Solutions Labs
83,605dd566e714dcc87f884853,Hyro acquisition to add $50m revenue,stub_article_id,Acquisition,Hyro,
40,5cf6d5545d6e680019857203,Hyro outsourcing and acquisition deal with Izilla,stub_article_id,Acquisition,Hyro ,Izilla
125,5c067e6329abc0000199ae45,Hyro to acquire One Planet Solutions,stub_article_id,Acquisition,Hyro,One Planet Solutions
47,5cf6d5545d6e680019857203,IAG acquires second Thai insurer,stub_article_id,Acquisition,IAG ,Thai insurer
28,606f0eee100e0a9f59cc0735,IBA Health buys Monet Technologies for $11.2m,stub_article_id,Acquisition,IBA Health,Monet Technologies
238,60fabc9b06cc8ca9173f044c,IBA Health buys Monet Technologies for $11.2m,stub_article_id,Merger,IBA Health,Monet Technologies
63,5cf6d5545d6e680019857203,IBA Health buys Monet Technologies for $11.2m,stub_article_id,Acquisition,IBA Health,Monet Technologies
168,5de7d87f1a7af87458d8bf85,IBA Health buys Monet Technologies for $11.2m,stub_article_id,Acquisition,IBA Health,Monet Technologies
331,5f70b6d420717c6a6dcf0773,IBT acquires ACL Pty Ltd for up to $55.7m,stub_article_id,Acquisition,IBT,ACL Pty Ltd
295,616e5ae706e970fe0aff99b6,IBT acquires ACL Pty Ltd for up to $55.7m,stub_article_id,Acquisition,IBT ,ACL Pty Ltd
58,5cf6d5545d6e680019857203,"ING Industrial acquisitions, projects and placement",stub_article_id,Neither / Not sure / Unclear,,
202,60fec763beec24a798c25e31,ING R/E Community acquires Rockhampton site,stub_article_id,Acquisition,ING R/E Community,Rockhampton site
131,5c067e6329abc0000199ae45,ITL wins patent case,stub_article_id,Neither / Not sure / Unclear,,
230,60fabc9b06cc8ca9173f044c,IWL settles Avcol Stockbroking acquisition from RFS,stub_article_id,Acquisition, RFS,Avcol Stockbroking
20,606f0eee100e0a9f59cc0735,IWL settles Avcol Stockbroking acquisition from RFS,stub_article_id,Acquisition,IWL ,Avcol Stockbroking
160,5de7d87f1a7af87458d8bf85,IWL settles Avcol Stockbroking acquisition from RFS,stub_article_id,Neither / Not sure / Unclear,,
67,5cf6d5545d6e680019857203,Image Resources acquires 14 WA tenements,stub_article_id,Acquisition,Image Resources,14 WA
254,604d603b057fd944c370a451,International Concerts finalises ATMONE acquisition,stub_article_id,Acquisition,International Concerts,ATMONE
98,605dd566e714dcc87f884853,International Equities jointly acquires Docklands land,stub_article_id,Acquisition,International Equities,Docklands 
136,5c067e6329abc0000199ae45,International Equities jointly acquires Docklands land,stub_article_id,Acquisition,International Equities,Docklands land
305,616e5ae706e970fe0aff99b6,Investor Group acquires two Victorian accountant firms,stub_article_id,Acquisition,,
265,604d603b057fd944c370a451,Investor Group acquires two Victorian accountant firms,stub_article_id,Neither / Not sure / Unclear,,
341,5f70b6d420717c6a6dcf0773,Investor Group acquires two Victorian accountant firms,stub_article_id,Acquisition,,
215,60fabc9b06cc8ca9173f044c,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,smaller airline company
287,616e5ae706e970fe0aff99b6,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
109,5c067e6329abc0000199ae45,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
248,604d603b057fd944c370a451,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
145,5de7d87f1a7af87458d8bf85,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
5,606f0eee100e0a9f59cc0735,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue ,
75,605dd566e714dcc87f884853,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
323,5f70b6d420717c6a6dcf0773,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
38,5cf6d5545d6e680019857203,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue ,
178,60fec763beec24a798c25e31,JetBlue set to acquire smaller airline company,stub_article_id,Acquisition,JetBlue,
44,5cf6d5545d6e680019857203,John Fairfax buys online dating business for $38.9m,stub_article_id,Acquisition,John Fairfax,
154,5de7d87f1a7af87458d8bf85,John Fairfax buys online dating business for $38.9m,stub_article_id,Neither / Not sure / Unclear,,
224,60fabc9b06cc8ca9173f044c,John Fairfax buys online dating business for $38.9m,stub_article_id,Merger,John Fairfax,
14,606f0eee100e0a9f59cc0735,John Fairfax buys online dating business for $38.9m,stub_article_id,Acquisition,John Fairfax,
101,605dd566e714dcc87f884853,KLM Group net profit up 73pc in first quarter,stub_article_id,Neither / Not sure / Unclear,,
129,5c067e6329abc0000199ae45,Legend Corp to acquire IES Investments,stub_article_id,Acquisition,Legend Corp,IES Investments
55,5cf6d5545d6e680019857203,Lighting Corp acquires Regal Lighting,stub_article_id,Acquisition,Lighting Corp,Regal Lighting
119,5c067e6329abc0000199ae45,M2 continues expansion,stub_article_id,Neither / Not sure / Unclear,,
118,5c067e6329abc0000199ae45,MFS achieves 90pc of S8; moves to compulsory acquisition,stub_article_id,Neither / Not sure / Unclear,,
298,616e5ae706e970fe0aff99b6,MacCapital in acquisition of Nordic directories company,stub_article_id,Acquisition,MacCapital ,
334,5f70b6d420717c6a6dcf0773,MacCapital in acquisition of Nordic directories company,stub_article_id,Acquisition,MacCapital,
60,5cf6d5545d6e680019857203,MacComms: Arqiva buys Inmedia for 68.5m pounds,stub_article_id,Acquisition,Arqiva,Inmedia 
103,605dd566e714dcc87f884853,Macquarie Goodman buys business park for $1.49bn,stub_article_id,Neither / Not sure / Unclear,,
139,5c067e6329abc0000199ae45,Macquarie Goodman buys business park for $1.49bn,stub_article_id,Neither / Not sure / Unclear,,
