,prolific_id,headline,response_class,company_1,company_2
23,61146df02f8f4131c8da6d3c,"DIGNITANA AB LANDS THREE KEY CONTRACTS IN U.S.FOR DIGNICAP® SCALP COOLING MEDICAL DEVICE, FUELING GROWTH IN FOURTH QUARTER",Acquisition,,
56,5f3050933b5a04118e4a4f73,DiaGenic continues efforts to find a financial solution,Neither / Not sure / Unclear,,
83,617287bc1a42a5bc56381cec,DiaGenic continues efforts to find a financial solution,Neither / Not sure / Unclear,,
2,61146df02f8f4131c8da6d3c,DiaGenic continues efforts to find a financial solution,Neither / Not sure / Unclear,,
29,613a802b5c0b64bb69295ff3,DiaGenic continues efforts to find a financial solution,Neither / Not sure / Unclear,,
66,5f3050933b5a04118e4a4f73,Initiates Shipments Of Internet enabled Tablets From New Indian Assembly Facility,Neither / Not sure / Unclear,,
39,613a802b5c0b64bb69295ff3,Initiates Shipments Of Internet enabled Tablets From New Indian Assembly Facility,Merger,,New Indian Assembly Facility
12,61146df02f8f4131c8da6d3c,Initiates Shipments Of Internet enabled Tablets From New Indian Assembly Facility,Neither / Not sure / Unclear,,
93,617287bc1a42a5bc56381cec,Initiates Shipments Of Internet enabled Tablets From New Indian Assembly Facility,Neither / Not sure / Unclear,,
16,61146df02f8f4131c8da6d3c,Interim report 1 January - 31 March 2013: Higher net interest and continued low loan losses,Neither / Not sure / Unclear,,
43,613a802b5c0b64bb69295ff3,Interim report 1 January - 31 March 2013: Higher net interest and continued low loan losses,Neither / Not sure / Unclear,,
70,5f3050933b5a04118e4a4f73,Interim report 1 January - 31 March 2013: Higher net interest and continued low loan losses,Neither / Not sure / Unclear,,
97,617287bc1a42a5bc56381cec,Interim report 1 January - 31 March 2013: Higher net interest and continued low loan losses,Neither / Not sure / Unclear,,
74,5f3050933b5a04118e4a4f73,Introduces Industry\'s First Openflow enabled Sdn Solution For Microsoft Lync,Neither / Not sure / Unclear,,
101,617287bc1a42a5bc56381cec,Introduces Industry\'s First Openflow enabled Sdn Solution For Microsoft Lync,Neither / Not sure / Unclear,,
20,61146df02f8f4131c8da6d3c,Introduces Industry\'s First Openflow enabled Sdn Solution For Microsoft Lync,Merger,,
47,613a802b5c0b64bb69295ff3,Introduces Industry\'s First Openflow enabled Sdn Solution For Microsoft Lync,Merger,Microsoft Lync,Sdn Solution
28,613a802b5c0b64bb69295ff3,Introduces New SaaS enabled Dynamic Sim Allocation(tm) Solution,Neither / Not sure / Unclear,,
55,5f3050933b5a04118e4a4f73,Introduces New SaaS enabled Dynamic Sim Allocation(tm) Solution,Neither / Not sure / Unclear,,
82,617287bc1a42a5bc56381cec,Introduces New SaaS enabled Dynamic Sim Allocation(tm) Solution,Neither / Not sure / Unclear,,
1,61146df02f8f4131c8da6d3c,Introduces New SaaS enabled Dynamic Sim Allocation(tm) Solution,Neither / Not sure / Unclear,,
87,617287bc1a42a5bc56381cec,Investing $1 Billion To Make Vancouver The World\'s Next Gigabit enabled City,Neither / Not sure / Unclear,,
6,61146df02f8f4131c8da6d3c,Investing $1 Billion To Make Vancouver The World\'s Next Gigabit enabled City,Neither / Not sure / Unclear,,
60,5f3050933b5a04118e4a4f73,Investing $1 Billion To Make Vancouver The World\'s Next Gigabit enabled City,Neither / Not sure / Unclear,,
33,613a802b5c0b64bb69295ff3,Investing $1 Billion To Make Vancouver The World\'s Next Gigabit enabled City,Neither / Not sure / Unclear,,
102,617287bc1a42a5bc56381cec,Kungsleden sells a property for SEK 385 m,Acquisition,,
75,5f3050933b5a04118e4a4f73,Kungsleden sells a property for SEK 385 m,Acquisition,,Kungsleden
21,61146df02f8f4131c8da6d3c,Kungsleden sells a property for SEK 385 m,Acquisition,,
48,613a802b5c0b64bb69295ff3,Kungsleden sells a property for SEK 385 m,Acquisition,,
32,613a802b5c0b64bb69295ff3,Management changes,Neither / Not sure / Unclear,,
5,61146df02f8f4131c8da6d3c,Management changes,Neither / Not sure / Unclear,,
86,617287bc1a42a5bc56381cec,Management changes,Neither / Not sure / Unclear,,
59,5f3050933b5a04118e4a4f73,Management changes,Neither / Not sure / Unclear,,
65,5f3050933b5a04118e4a4f73,NEW CHIEF FINANCIAL OFFICER WITH FRED. OLSEN & CO.,Neither / Not sure / Unclear,,
92,617287bc1a42a5bc56381cec,NEW CHIEF FINANCIAL OFFICER WITH FRED. OLSEN & CO.,Neither / Not sure / Unclear,,
11,61146df02f8f4131c8da6d3c,NEW CHIEF FINANCIAL OFFICER WITH FRED. OLSEN & CO.,Neither / Not sure / Unclear,,
38,613a802b5c0b64bb69295ff3,NEW CHIEF FINANCIAL OFFICER WITH FRED. OLSEN & CO.,Merger,,FRED. OLSEN & CO.
36,613a802b5c0b64bb69295ff3,New Innovations In Fabric enabled Networking,Neither / Not sure / Unclear,,
63,5f3050933b5a04118e4a4f73,New Innovations In Fabric enabled Networking,Neither / Not sure / Unclear,,
9,61146df02f8f4131c8da6d3c,New Innovations In Fabric enabled Networking,Neither / Not sure / Unclear,,
90,617287bc1a42a5bc56381cec,New Innovations In Fabric enabled Networking,Neither / Not sure / Unclear,,
79,5f3050933b5a04118e4a4f73,New Report Available United States DisplayPort enabled Equipment Industry,Neither / Not sure / Unclear,,
25,61146df02f8f4131c8da6d3c,New Report Available United States DisplayPort enabled Equipment Industry,Acquisition,,
106,617287bc1a42a5bc56381cec,New Report Available United States DisplayPort enabled Equipment Industry,Neither / Not sure / Unclear,,
52,613a802b5c0b64bb69295ff3,New Report Available United States DisplayPort enabled Equipment Industry,Neither / Not sure / Unclear,,
30,613a802b5c0b64bb69295ff3,NextGenTel signs agreement to acquire Kvantel and Kvantel Voice,Acquisition,NextGenTel,Kvantel and Kvantel Voice
84,617287bc1a42a5bc56381cec,NextGenTel signs agreement to acquire Kvantel and Kvantel Voice,Acquisition,NextGenTel,Kvantel and Kvantel Voice
3,61146df02f8f4131c8da6d3c,NextGenTel signs agreement to acquire Kvantel and Kvantel Voice,Acquisition,,
57,5f3050933b5a04118e4a4f73,NextGenTel signs agreement to acquire Kvantel and Kvantel Voice,Acquisition,NextGenTel ,Kvantel and Kvantel Voice
89,617287bc1a42a5bc56381cec,Nine-month interim report 2012/2013: Sectra increases order bookings and improves earnings,Neither / Not sure / Unclear,,
8,61146df02f8f4131c8da6d3c,Nine-month interim report 2012/2013: Sectra increases order bookings and improves earnings,Neither / Not sure / Unclear,,
62,5f3050933b5a04118e4a4f73,Nine-month interim report 2012/2013: Sectra increases order bookings and improves earnings,Neither / Not sure / Unclear,,
35,613a802b5c0b64bb69295ff3,Nine-month interim report 2012/2013: Sectra increases order bookings and improves earnings,Neither / Not sure / Unclear,,
15,61146df02f8f4131c8da6d3c,Oti Enters Emv Countertop Reader Market With Apple Pay enabled Solution,Merger,,
96,617287bc1a42a5bc56381cec,Oti Enters Emv Countertop Reader Market With Apple Pay enabled Solution,Neither / Not sure / Unclear,,
69,5f3050933b5a04118e4a4f73,Oti Enters Emv Countertop Reader Market With Apple Pay enabled Solution,Neither / Not sure / Unclear,,
42,613a802b5c0b64bb69295ff3,Oti Enters Emv Countertop Reader Market With Apple Pay enabled Solution,Merger, Apple Pay,Oti Enters Emv Countertop Reader
72,5f3050933b5a04118e4a4f73,Panasonic Partner To Bring Gametree(tm) Tv Content To Viera Connect(tm) enabled Devices,Neither / Not sure / Unclear,,
18,61146df02f8f4131c8da6d3c,Panasonic Partner To Bring Gametree(tm) Tv Content To Viera Connect(tm) enabled Devices,Merger,,
99,617287bc1a42a5bc56381cec,Panasonic Partner To Bring Gametree(tm) Tv Content To Viera Connect(tm) enabled Devices,Neither / Not sure / Unclear,,
45,613a802b5c0b64bb69295ff3,Panasonic Partner To Bring Gametree(tm) Tv Content To Viera Connect(tm) enabled Devices,Merger,Panasonic ,Bring Gametree(tm) Tv Content To Viera Connect(tm)
68,5f3050933b5a04118e4a4f73,Ralph Riber leaving as IES's CEO,Neither / Not sure / Unclear,,
14,61146df02f8f4131c8da6d3c,Ralph Riber leaving as IES's CEO,Neither / Not sure / Unclear,,
95,617287bc1a42a5bc56381cec,Ralph Riber leaving as IES's CEO,Neither / Not sure / Unclear,,
41,613a802b5c0b64bb69295ff3,Ralph Riber leaving as IES's CEO,Neither / Not sure / Unclear,,
85,617287bc1a42a5bc56381cec,Ringi partners with Ivana Helsinki to design fashion phone calls,Neither / Not sure / Unclear,,
4,61146df02f8f4131c8da6d3c,Ringi partners with Ivana Helsinki to design fashion phone calls,Merger,,
31,613a802b5c0b64bb69295ff3,Ringi partners with Ivana Helsinki to design fashion phone calls,Merger,Ivana Helsinki,Ringi
58,5f3050933b5a04118e4a4f73,Ringi partners with Ivana Helsinki to design fashion phone calls,Neither / Not sure / Unclear,,
22,61146df02f8f4131c8da6d3c,TELUS Mobility Launches Bluetooth enabled BlackBerry Handheld,Acquisition,,
76,5f3050933b5a04118e4a4f73,TELUS Mobility Launches Bluetooth enabled BlackBerry Handheld,Neither / Not sure / Unclear,,
103,617287bc1a42a5bc56381cec,TELUS Mobility Launches Bluetooth enabled BlackBerry Handheld,Neither / Not sure / Unclear,,
49,613a802b5c0b64bb69295ff3,TELUS Mobility Launches Bluetooth enabled BlackBerry Handheld,Merger,TELUS Mobility,Bluetooth
64,5f3050933b5a04118e4a4f73,Tele2 AB sells Tele2 Norway to TeliaSonera for SEK 5.1 billion,Acquisition,TeliaSonera ,Tele2 Norway
10,61146df02f8f4131c8da6d3c,Tele2 AB sells Tele2 Norway to TeliaSonera for SEK 5.1 billion,Acquisition,TeliaSonera,Tele2 Norway
37,613a802b5c0b64bb69295ff3,Tele2 AB sells Tele2 Norway to TeliaSonera for SEK 5.1 billion,Acquisition,TeliaSonera,Tele2 Norway
91,617287bc1a42a5bc56381cec,Tele2 AB sells Tele2 Norway to TeliaSonera for SEK 5.1 billion,Acquisition,TeliaSonera,Tele2 Norway
24,61146df02f8f4131c8da6d3c,Test Press Release - 17th July,Acquisition,,
78,5f3050933b5a04118e4a4f73,Test Press Release - 17th July,Neither / Not sure / Unclear,,
51,613a802b5c0b64bb69295ff3,Test Press Release - 17th July,Neither / Not sure / Unclear,,
105,617287bc1a42a5bc56381cec,Test Press Release - 17th July,Neither / Not sure / Unclear,,
73,5f3050933b5a04118e4a4f73,Trading and operations update,Neither / Not sure / Unclear,,
46,613a802b5c0b64bb69295ff3,Trading and operations update,Neither / Not sure / Unclear,,
100,617287bc1a42a5bc56381cec,Trading and operations update,Neither / Not sure / Unclear,,
19,61146df02f8f4131c8da6d3c,Trading and operations update,Neither / Not sure / Unclear,,
27,613a802b5c0b64bb69295ff3,"Volvo Groupintroduces new organization for its dealer networks in Europe, the Middle East and Africa",Neither / Not sure / Unclear,,
54,5f3050933b5a04118e4a4f73,"Volvo Groupintroduces new organization for its dealer networks in Europe, the Middle East and Africa",Neither / Not sure / Unclear,,
81,617287bc1a42a5bc56381cec,"Volvo Groupintroduces new organization for its dealer networks in Europe, the Middle East and Africa",Neither / Not sure / Unclear,,
0,61146df02f8f4131c8da6d3c,"Volvo Groupintroduces new organization for its dealer networks in Europe, the Middle East and Africa",Merger,,
